,Title,Price,Kilometers Driven,Fuel Type,Location,Year,Make,Model,Variant,Car Age,Trim Level,Power Indicator
1130,2022 Maruti Suzuki Celerio ZXi Plus [2021-2023],589000.0,23425.0,Petrol,Jubilee Hills,2022,Maruti,Suzuki,Celerio ZXi Plus,2,Base,Standard
1131,2011 Maruti Suzuki Ritz VXI BS-IV,268000.0,67157.0,Petrol,Bellavista,2011,Maruti,Suzuki,Ritz VXI BS-IV,13,Base,Standard
1132,2016 Maruti Suzuki Wagon R 1.0 Vxi (ABS-Airbag),408000.0,32921.0,Petrol,Bellavista,2016,Maruti,Suzuki,Wagon R 1.0 Vxi (ABS-Airbag),8,Base,Standard
1133,2019 Maruti Suzuki Swift ZXi AMT [2018-2019],571764.0,71116.0,Petrol,Jubilee Hills,2019,Maruti,Suzuki,Swift ZXi AMT,5,Base,Standard
1134,2021 Maruti Suzuki Alto 800 Vxi,389000.0,24279.0,Petrol,Beerappagadda,2021,Maruti,Suzuki,Alto 800 Vxi,3,Base,Standard
1135,2022 Skoda Slavia Ambition 1.0L TSI MT,1194466.0,13671.0,Petrol,Jntu Kukat Pally,2022,Skoda,Slavia,Ambition 1.0L TSI MT,2,Base,Standard
1136,2011 Hyundai i10 Magna 1.2 Kappa2,249000.0,77454.0,Petrol,Bellavista,2011,Hyundai,i10,Magna 1.2 Kappa2,13,Base,Standard
1137,2021 Maruti Suzuki S-Presso VXi Plus,469000.0,25795.0,Petrol,Bellavista,2021,Maruti,Suzuki,S-Presso VXi Plus,3,Base,Standard
1138,2016 Maruti Suzuki Baleno Alpha 1.2,579000.0,88506.0,Petrol,Jubilee Hills,2016,Maruti,Suzuki,Baleno Alpha 1.2,8,Base,Standard
1139,2021 Renault Kwid 1.0 RXT AMT Opt,468000.0,19817.0,Petrol,Bellavista,2021,Renault,Kwid,1.0 RXT AMT Opt,3,Base,Standard
1140,2010 Maruti Suzuki Swift VXi ABS [2014-2017],291000.0,73153.0,Petrol,Jubilee Hills,2010,Maruti,Suzuki,Swift VXi ABS,14,Base,Standard
1141,2014 Ford EcoSport Titanium 1.5 TDCi,554000.0,84701.0,Diesel,Bellavista,2014,Ford,EcoSport,Titanium 1.5 TDCi,10,Base,Standard
1142,2011 Hyundai Verna Fluidic 1.6 VTVT SX,408000.0,69780.0,Petrol,Jubilee Hills,2011,Hyundai,Verna,Fluidic 1.6 VTVT SX,13,Base,Standard
1143,2011 Maruti Suzuki Swift Dzire VXi 1.2 BS-IV,285000.0,82296.0,Petrol,Bellavista,2011,Maruti,Suzuki,Swift Dzire VXi 1.2 BS-IV,13,Base,Standard
1144,2018 Maruti Suzuki Baleno Delta 1.2,615000.0,34685.0,Petrol,Bellavista,2018,Maruti,Suzuki,Baleno Delta 1.2,6,Base,Standard
1145,2022 Mahindra Thar LX Hard Top Petrol AT,1467000.0,11538.0,Petrol,Jntu Kukat Pally,2022,Mahindra,Thar,LX Hard Top Petrol AT,2,Base,Standard
1146,2013 Maruti Suzuki Ritz Vxi BS-IV,298000.0,96508.0,Petrol,Jubilee Hills,2013,Maruti,Suzuki,Ritz Vxi BS-IV,11,Base,Standard
1147,2018 Honda Brio S (O)MT,419000.0,37887.0,Petrol,Bellavista,2018,Honda,Brio,S (O)MT,6,Base,Standard
1148,2021 Renault Kiger RXZ Turbo CVT Dual Tone,865565.0,31553.0,Petrol,Jubilee Hills,2021,Renault,Kiger,RXZ Turbo CVT Dual Tone,3,Base,Standard
1149,2018 Maruti Suzuki Dzire ZDi Plus AMT,789000.0,78806.0,Diesel,Bellavista,2018,Maruti,Suzuki,Dzire ZDi Plus AMT,6,Base,Standard
1150,2018 Hyundai Elite i20 Asta 1.2 AT,639000.0,94489.0,Petrol,Jubilee Hills,2018,Hyundai,Elite,i20 Asta 1.2 AT,6,Base,Standard
1151,2014 Maruti Suzuki Celerio ZXi,329000.0,104823.0,Petrol,Jubilee Hills,2014,Maruti,Suzuki,Celerio ZXi,10,Base,Standard
1152,2018 Maruti Suzuki Swift ZXi AMT [2018-2019],578000.0,95438.0,Petrol,Beerappagadda,2018,Maruti,Suzuki,Swift ZXi AMT,6,Base,Standard
1153,2019 Maruti Suzuki Baleno Zeta 1.2 AT,636000.0,82363.0,Petrol,Bellavista,2019,Maruti,Suzuki,Baleno Zeta 1.2 AT,5,Base,Standard
1154,2014 Maruti Suzuki Celerio VXi,298000.0,145852.0,Petrol,Bellavista,2014,Maruti,Suzuki,Celerio VXi,10,Base,Standard
